unique_id,ds,y,type
10,2022-01-03,25327.0,actual
10,2022-01-10,21561.0,actual
10,2022-01-17,22411.0,actual
10,2022-01-24,22794.0,actual
10,2022-01-31,35934.0,actual
10,2022-02-07,29761.0,actual
10,2022-02-14,25618.0,actual
10,2022-02-21,18614.0,actual
10,2022-02-28,21667.0,actual
10,2022-03-07,24933.0,actual
10,2022-03-14,24227.0,actual
10,2022-03-21,23625.0,actual
10,2022-03-28,22001.0,actual
10,2022-04-04,18996.0,actual
10,2022-04-11,20521.0,actual
10,2022-04-18,18394.0,actual
10,2022-04-25,24200.0,actual
10,2022-05-02,24431.0,actual
10,2022-05-09,25838.0,actual
10,2022-05-16,20493.0,actual
10,2022-05-23,21097.0,actual
10,2022-05-30,23618.0,actual
10,2022-06-06,21601.0,actual
10,2022-06-13,19491.0,actual
10,2022-06-20,19055.0,actual
10,2022-06-27,21902.0,actual
10,2022-07-04,20752.0,actual
10,2022-07-11,17491.0,actual
10,2022-07-18,17508.0,actual
10,2022-07-25,25402.0,actual
10,2022-08-01,20622.0,actual
10,2022-08-08,20377.0,actual
10,2022-08-15,20404.0,actual
10,2022-08-22,20111.0,actual
10,2022-08-29,17416.0,actual
10,2022-09-05,20158.0,actual
10,2022-09-12,22929.0,actual
10,2022-09-19,26145.0,actual
10,2022-09-26,21842.0,actual
10,2022-10-03,22761.0,actual
10,2022-10-10,22154.0,actual
10,2022-10-17,20774.0,actual
10,2022-10-24,19048.0,actual
10,2022-10-31,20073.0,actual
10,2022-11-07,27506.0,actual
10,2022-11-14,22993.0,actual
10,2022-11-21,20737.0,actual
10,2022-11-28,26722.0,actual
10,2022-12-05,23016.0,actual
10,2022-12-12,21422.0,actual
10,2022-12-19,14339.0,actual
10,2022-12-26,27675.0,actual
10,2023-01-02,29197.0,actual
10,2023-01-09,18085.0,actual
10,2023-01-16,23150.0,actual
10,2023-01-23,21278.0,actual
10,2023-01-30,25201.0,actual
10,2023-02-06,23437.0,actual
10,2023-02-13,22152.0,actual
10,2023-02-20,25546.0,actual
10,2023-02-27,22191.0,actual
10,2023-03-06,8875.0,actual
10,2023-03-13,21613.0,actual
10,2023-03-20,23628.0,actual
10,2023-03-27,23027.0,actual
10,2023-04-03,21920.0,actual
10,2023-04-10,21529.0,actual
10,2023-04-17,26150.0,actual
10,2023-04-24,28904.0,actual
10,2023-05-01,26375.0,actual
10,2023-05-08,24799.0,actual
10,2023-05-15,20331.0,actual
10,2023-05-22,20205.0,actual
10,2023-05-29,24010.0,actual
10,2023-06-05,26128.0,actual
10,2023-06-12,23627.0,actual
10,2023-06-19,23905.0,actual
10,2023-06-26,22953.0,actual
10,2023-07-03,28297.0,actual
10,2023-07-10,20289.0,actual
10,2023-07-17,20068.0,actual
10,2023-07-24,22140.0,actual
10,2023-07-31,26053.0,actual
10,2023-08-07,21330.0,actual
10,2023-08-14,23248.0,actual
10,2023-08-21,23202.0,actual
10,2023-08-28,21275.0,actual
10,2023-09-04,23504.0,actual
10,2023-09-11,21438.0,actual
10,2023-09-18,24776.0,actual
10,2023-09-25,24312.0,actual
10,2023-10-02,24991.0,actual
10,2023-10-09,23774.0,actual
10,2023-10-16,23694.0,actual
10,2023-10-23,26331.0,actual
10,2023-10-30,23217.0,actual
10,2023-11-06,17882.0,actual
10,2023-11-13,25009.0,actual
10,2023-11-20,20466.0,actual
10,2023-11-27,32478.0,actual
10,2023-12-04,29809.0,actual
10,2023-12-11,24997.0,actual
10,2023-12-18,18040.0,actual
10,2023-12-25,21008.0,actual
10,2024-01-01,28635.0,actual
10,2024-01-08,25127.0,actual
10,2024-01-15,23124.0,actual
10,2024-01-22,23634.0,actual
10,2024-01-29,28889.0,actual
10,2024-02-05,27512.0,actual
10,2024-02-12,24727.0,actual
10,2024-02-19,24583.0,actual
10,2024-02-26,27742.0,actual
10,2024-03-04,26123.0,actual
10,2024-03-11,24023.0,actual
10,2024-03-18,22897.0,actual
10,2024-03-25,23225.0,actual
10,2024-04-01,23323.0,actual
10,2024-04-08,25298.0,actual
10,2024-04-15,22636.0,actual
10,2024-04-22,26016.0,actual
10,2024-04-29,26787.0,actual
10,2024-05-06,25419.0,actual
10,2024-05-13,23921.0,actual
10,2024-05-20,20775.0,actual
10,2024-05-27,24727.0,actual
10,2024-06-03,22869.0,actual
10,2024-06-10,24076.0,actual
10,2024-06-17,24860.0,actual
10,2024-06-24,25021.0,actual
10,2024-07-01,28518.0,actual
10,2024-07-08,27065.0,actual
10,2024-07-15,22874.0,actual
10,2024-07-22,26087.0,actual
10,2024-07-29,23238.0,actual
10,2024-08-05,23794.0,actual
10,2024-08-12,23889.0,actual
10,2024-08-19,21203.0,actual
10,2024-08-26,22309.0,actual
10,2024-09-02,27272.0,actual
10,2024-09-09,23878.0,actual
10,2024-09-16,24365.0,actual
10,2024-09-23,23951.0,actual
10,2024-09-30,25553.0,actual
10,2024-10-07,22722.0,actual
11,2022-01-03,17636.0,actual
11,2022-01-10,17250.0,actual
11,2022-01-17,15418.0,actual
11,2022-01-24,17868.0,actual
11,2022-01-31,27529.0,actual
11,2022-02-07,21280.0,actual
11,2022-02-14,21987.0,actual
11,2022-02-21,13194.0,actual
11,2022-02-28,16517.0,actual
11,2022-03-07,19210.0,actual
11,2022-03-14,17140.0,actual
11,2022-03-21,16219.0,actual
11,2022-03-28,15184.0,actual
11,2022-04-04,16466.0,actual
11,2022-04-11,15564.0,actual
11,2022-04-18,13569.0,actual
11,2022-04-25,20682.0,actual
11,2022-05-02,21676.0,actual
11,2022-05-09,18557.0,actual
11,2022-05-16,15350.0,actual
11,2022-05-23,16296.0,actual
11,2022-05-30,17172.0,actual
11,2022-06-06,17303.0,actual
11,2022-06-13,15869.0,actual
11,2022-06-20,18229.0,actual
11,2022-06-27,18606.0,actual
11,2022-07-04,15276.0,actual
11,2022-07-11,15064.0,actual
11,2022-07-18,15663.0,actual
11,2022-07-25,22524.0,actual
11,2022-08-01,16568.0,actual
11,2022-08-08,18083.0,actual
11,2022-08-15,15406.0,actual
11,2022-08-22,15558.0,actual
11,2022-08-29,13536.0,actual
11,2022-09-05,15873.0,actual
11,2022-09-12,17403.0,actual
11,2022-09-19,21480.0,actual
11,2022-09-26,15489.0,actual
11,2022-10-03,17304.0,actual
11,2022-10-10,16959.0,actual
11,2022-10-17,16186.0,actual
11,2022-10-24,14441.0,actual
11,2022-10-31,14168.0,actual
11,2022-11-07,22574.0,actual
11,2022-11-14,19035.0,actual
11,2022-11-21,17691.0,actual
11,2022-11-28,21749.0,actual
11,2022-12-05,19361.0,actual
11,2022-12-12,19803.0,actual
11,2022-12-19,15176.0,actual
11,2022-12-26,21768.0,actual
11,2023-01-02,23851.0,actual
11,2023-01-09,15685.0,actual
11,2023-01-16,17784.0,actual
11,2023-01-23,16956.0,actual
11,2023-01-30,19981.0,actual
11,2023-02-06,19840.0,actual
11,2023-02-13,17483.0,actual
11,2023-02-20,22913.0,actual
11,2023-02-27,17851.0,actual
11,2023-03-06,7291.0,actual
11,2023-03-13,17716.0,actual
11,2023-03-20,18594.0,actual
11,2023-03-27,20409.0,actual
11,2023-04-03,18210.0,actual
11,2023-04-10,21713.0,actual
11,2023-04-17,28776.0,actual
11,2023-04-24,29870.0,actual
11,2023-05-01,27879.0,actual
11,2023-05-08,27812.0,actual
11,2023-05-15,22757.0,actual
11,2023-05-22,20501.0,actual
11,2023-05-29,20926.0,actual
11,2023-06-05,27572.0,actual
11,2023-06-12,26644.0,actual
11,2023-06-19,24186.0,actual
11,2023-06-26,24504.0,actual
11,2023-07-03,26365.0,actual
11,2023-07-10,18449.0,actual
11,2023-07-17,19497.0,actual
11,2023-07-24,21452.0,actual
11,2023-07-31,25939.0,actual
11,2023-08-07,21188.0,actual
11,2023-08-14,23540.0,actual
11,2023-08-21,23480.0,actual
11,2023-08-28,23870.0,actual
11,2023-09-04,20747.0,actual
11,2023-09-11,20562.0,actual
11,2023-09-18,25019.0,actual
11,2023-09-25,22369.0,actual
11,2023-10-02,27213.0,actual
11,2023-10-09,24541.0,actual
11,2023-10-16,24144.0,actual
11,2023-10-23,26868.0,actual
11,2023-10-30,21265.0,actual
11,2023-11-06,15620.0,actual
11,2023-11-13,20896.0,actual
11,2023-11-20,16065.0,actual
11,2023-11-27,23731.0,actual
11,2023-12-04,21820.0,actual
11,2023-12-11,20683.0,actual
11,2023-12-18,18000.0,actual
11,2023-12-25,15799.0,actual
11,2024-01-01,19056.0,actual
11,2024-01-08,19886.0,actual
11,2024-01-15,18884.0,actual
11,2024-01-22,18821.0,actual
11,2024-01-29,22483.0,actual
11,2024-02-05,20647.0,actual
11,2024-02-12,19066.0,actual
11,2024-02-19,18306.0,actual
11,2024-02-26,18909.0,actual
11,2024-03-04,17643.0,actual
11,2024-03-11,17093.0,actual
11,2024-03-18,17781.0,actual
11,2024-03-25,16347.0,actual
11,2024-04-01,17776.0,actual
11,2024-04-08,18009.0,actual
11,2024-04-15,17402.0,actual
11,2024-04-22,20293.0,actual
11,2024-04-29,20619.0,actual
11,2024-05-06,19460.0,actual
